p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	species
2.49256290990806e-69	2.79129824643929	0.138	0.022	1.24007497330836e-64	Spis-XP-022787111-1	Spis
7.15623263660688e-72	2.78404017111795	0.113	0.014	3.56029729903829e-67	Spis-XP-022804580-1	Spis
2.1935430519734e-76	2.77241310591241	0.162	0.028	1.09130960378728e-71	Spis-XP-022797937-1	Spis
6.51462402562959e-131	2.76535975034513	0.273	0.047	3.24109059899098e-126	Spis-XP-022789870-1	Spis
8.39360953832928e-73	2.76222278112333	0.205	0.045	4.1759046814142e-68	Spis-XP-022786601-1	Spis
1.01716726771827e-78	2.74380705049599	0.119	0.015	5.06050887362518e-74	Spis-XP-022801094-1	Spis
1.41746545495261e-142	2.73687553497906	0.127	0.008	7.05203238493473e-138	Spis-XP-022789847-1	Spis
5.03593769120911e-229	2.71600051329142	0.351	0.043	2.50542936075345e-224	Spis-XP-022789375-1	Spis
8.27549136115554e-164	2.70905657960399	0.297	0.044	4.11713970708849e-159	Spis-XP-022795566-1	Spis
2.55422945656955e-55	2.70797191399922	0.103	0.016	1.27075469693792e-50	Spis-XP-022803659-1	Spis
6.43103064626804e-130	2.70714929729295	0.164	0.016	3.19950205682481e-125	Spis-XP-022805650-1	Spis
6.10617250944851e-193	2.68716885647242	0.684	0.223	3.03788188517573e-188	Spis-XP-022793831-1	Spis
5.77479521664398e-114	2.68554160130454	0.34	0.081	2.87301836823254e-109	Spis-XP-022784236-1	Spis
6.92139294364235e-56	2.65710186569143	0.124	0.022	3.44346220339151e-51	Spis-XP-022797456-1	Spis
1.57329793631231e-116	2.62066933821767	0.323	0.072	7.82731456294738e-112	Spis-XP-022780352-1	Spis
3.99172901339289e-58	2.60868871139154	0.146	0.029	1.9859251014531e-53	Spis-orphan-peak-18824	Spis
8.92563167141703e-296	2.60193863107383	0.601	0.107	4.44059101284669e-291	Spis-XP-022793177-1	Spis
1.29888405884509e-70	2.59452786660274	0.176	0.035	6.46207808116019e-66	Spis-XP-022793610-1	Spis
2.35653746914326e-65	2.5757106738246	0.126	0.019	1.17240095627346e-60	Spis-XP-022799583-1	Spis
2.19518947085516e-97	2.55802491081929	0.215	0.038	1.09212871364515e-92	Spis-XP-022802445-1	Spis
4.06273982677398e-73	2.54214155934779	0.2	0.043	2.02125369121832e-68	Spis-XP-022797122-1	Spis
1.51084395823186e-69	2.5206925953805	0.154	0.027	7.51659977659935e-65	Spis-LOC111334139	Spis
5.19913998008005e-121	2.48506247434469	0.211	0.029	2.58662413148963e-116	Spis-XP-022807142-1	Spis
1.65297909853779e-85	2.4602403292336	0.167	0.026	8.22373631313537e-81	Spis-XP-022782912-1	Spis
1.37294972240262e-135	2.45808408386999	0.367	0.079	6.83056216392527e-131	Spis-orphan-peak-923	Spis
9.78818164709352e-143	2.45728046202511	0.421	0.101	4.8697182512455e-138	Spis-XP-022800056-1	Spis
1.09786538416854e-100	2.4417542171178	0.245	0.047	5.46199007277689e-96	Spis-XP-022795288-1	Spis
2.83494182113843e-64	2.42772537984214	0.194	0.045	1.41041190543458e-59	Spis-XP-022779310-1	Spis
3.9218156646005e-114	2.40094284144396	0.172	0.021	1.9511425112954e-109	Spis-XP-022790212-1	Spis
9.11338645755986e-38	2.37560112712549	0.103	0.022	4.53400089650061e-33	Spis-XP-022807847-1	Spis
4.74522362669386e-67	2.35264904573509	0.188	0.04	2.36079620651646e-62	Spis-XP-022782385-1	Spis
3.9824628347167e-44	2.34898825812901	0.149	0.037	1.9813150848999e-39	Spis-XP-022802289-1	Spis
1.37987356708256e-42	2.33820772186389	0.14	0.034	6.86500898359246e-38	Spis-XP-022779730-1	Spis
1.47313960018849e-144	2.33577063376862	0.211	0.025	7.32901682489773e-140	Spis-XP-022797885-1	Spis
1.11688704447217e-25	2.32179273662952	0.103	0.029	5.55662473495347e-21	Spis-XP-022804062-1	Spis
